,id_recipe,Quantity,Unit of Measure,Ingredient
143,6737384,2,tablespoons,chopped fresh cilantro
144,6664872,,,cooking spray
145,6664872,1,pound,"skinless, boneless chicken breast, diced"
146,6664872,1,(10.5 ounce) can,condensed cream of chicken soup
147,6664872,1,(10 ounce) package,frozen chopped broccoli
148,6664872,1,cup,uncooked white rice
149,6664872,¾,cup,water
150,6664872,½,cup,"shredded Cheddar cheese, or to taste"
151,6583330,2,tablespoons,vegetable oil
152,6583330,4,,pork chops
153,6583330,1,(10.75 ounce) can,condensed cream of chicken soup
154,6583330,1,(10.75 ounce) can,condensed cream of celery soup
155,6583330,1,cup,milk
156,6583330,1,cup,uncooked instant rice
157,6583330,½,cup,butter
158,6736741,6,,"skinless, boneless chicken breast halves, cut into bite size pieces"
159,6736741,2,cups,milk
160,6736741,2,cups,uncooked white rice
161,6736741,2,(10.75 ounce) cans,condensed cream of chicken soup
162,6736741,1,teaspoon,seasoned salt
163,6738372,1,cup,uncooked white rice
164,6738372,1,(10.75 ounce) can,condensed cream of chicken soup
165,6738372,1 ⅞,cups,water
166,6738372,1,(1 ounce) package,dry onion soup mix
167,6738372,4,,"skinless, boneless chicken breast halves"
168,6571182,1,cup,white rice
169,6571182,4,,"skinless, boneless chicken breast halves"
170,6571182,1,(1 ounce) package,French onion soup mix
171,6571182,1,(10.75 ounce) can,condensed cream of mushroom soup
172,6583861,2,cups,"chopped, cooked chicken meat"
173,6583861,1,cup,cooked white rice
174,6583861,1,(10.75 ounce) can,condensed cream of chicken soup
175,6583861,⅔,cup,mayonnaise
176,6583861,2,tablespoons,grated onion
177,6583861,½,cup,chopped celery
178,6583861,1,(8 ounce) can,sliced water chestnuts
179,6583861,1,tablespoon,lemon juice
180,6583861,½,cup,shredded sharp Cheddar cheese
181,6583861,2,cups,crushed potato chips
182,6583861,¼,cup,water
183,6583861,,,salt and pepper to taste
184,6594334,1,(6 ounce) package,wild rice (such as Uncle Ben's ®)
185,6594334,3,cups,water
186,6594334,1,tablespoon,vegetable oil
187,6594334,1,pound,"skinless, boneless chicken breast meat - cut into chunks"
188,6594334,1,(14.5 ounce) can,"French-cut green beans, drained"
189,6594334,1,(10.75 ounce) can,cream of mushroom soup
190,6594334,1,cup,mayonnaise
191,6586249,1,cup,brown rice
192,6586249,2,cups,water
193,6586249,2,,"turkey sausage links, cut into 1-inch pieces"
194,6586249,1,tablespoon,"minced garlic, or to taste"
195,6586249,¾,,"red onion, diced"
196,6586249,1,,"green bell pepper, sliced"
197,6586249,¾,cup,vegetable or chicken broth
198,6586249,1,cup,grape tomatoes
199,6586249,2,tablespoons,diced pimento
200,6586249,,,crushed red pepper flakes to taste
201,6586249,,,Cajun seasoning to taste
202,6586249,,,black pepper to taste
203,6569979,1,cup,uncooked white rice
204,6569979,1,(1 ounce) package,dry onion soup mix
205,6569979,2,(10.75 ounce) cans,condensed cream of mushroom soup
206,6569979,2 ½,cups,water
207,6569979,1,,"green bell pepper, sliced in rings"
208,6569979,1,,"onion, sliced into rings"
209,6569979,5,,pork chops
210,6602012,1,(10.75 ounce) can,condensed cream of mushroom soup
211,6602012,1,(10.75 ounce) can,condensed cream of celery soup
212,6602012,1,cup,water
213,6602012,1,cup,uncooked white rice
214,6602012,1,(4.5 ounce) can,"mushrooms, drained"
215,6602012,1,pinch,garlic powder
216,6602012,,,ground black pepper to taste
217,6602012,1,(1 ounce) package,dry onion soup mix
218,6602012,8,,"skinless, boneless chicken breast halves"
219,6570011,1,pound,"fresh, ground pork sausage"
220,6570011,1,,"onion, finely chopped"
221,6570011,1,cup,chopped celery
222,6570011,1,,"green bell pepper, chopped"
223,6570011,½,cup,uncooked long-grain rice
224,6570011,2 ½,cups,hot water
225,6570011,1,envelope,chicken noodle mix -dry
226,6570011,2,tablespoons,sliced almonds
227,6737440,4,,"skinless, bone-in chicken breast halves"
228,6737440,2,stalks,"celery, cut into thirds"
229,6737440,½,teaspoon,salt
230,6737440,⅛,teaspoon,pepper
231,6737440,1,cup,cooked rice
232,6737440,6,ounces,sour cream
233,6737440,2,(10.5 ounce) cans,condensed cream of chicken soup
234,6737440,¼,teaspoon,celery salt
235,6737440,⅛,teaspoon,onion powder
236,6737440,¼,teaspoon,garlic powder
237,6737440,,,salt and pepper to taste
238,6737440,2,cups,crushed buttery round crackers
239,6737440,½,cup,"butter or margarine, melted"
240,6591222,3,cups,water
241,6591222,1,cup,uncooked wild rice
242,6591222,3,cups,"cooked, cubed chicken breast meat"
243,6591222,1,(10.75 ounce) can,condensed cream of celery soup
244,6591222,1,(4 ounce) jar,"diced pimento peppers, drained"
245,6591222,1,,"onion, chopped"
246,6591222,2,(14.5 ounce) cans,"French-style green beans, drained"
247,6591222,1,cup,mayonnaise
248,6591222,1,cup,"water chestnuts, drained and chopped"
249,6591222,,,salt and pepper to taste
250,6603968,6,,pork chops
251,6603968,,,salt and pepper to taste
252,6603968,1,cup,uncooked wild rice
253,6603968,1 ½,cups,water
254,6603968,1,(8 ounce) can,canned mushrooms
255,6603968,1,tablespoon,chicken bouillon granules
256,6603968,1,(10.75 ounce) can,condensed cream of mushroom soup
257,6596302,½,cup,uncooked long-grain white rice
258,6596302,3,,"potatoes, sliced"
259,6596302,1,,"onion, sliced into rings"
260,6596302,2,,"carrots, cut into 1 inch pieces"
261,6596302,1,(15 ounce) can,"green peas, with liquid"
262,6596302,1,(10.75 ounce) can,condensed tomato soup
263,6596302,1,(10.75 ounce) can,water
264,6596302,1,pound,"pork sausage, sliced and browned"
265,6596302,,,salt and pepper to taste
266,6588194,⅓,cup,brown rice
267,6588194,1,cup,vegetable broth
268,6588194,1,tablespoon,olive oil
269,6588194,⅓,cup,diced onion
270,6588194,1,medium,"zucchini, thinly sliced"
271,6588194,2,,"cooked skinless boneless chicken breast halves, chopped"
272,6588194,½,cup,sliced mushrooms
273,6588194,½,teaspoon,cumin
274,6588194,,,salt to taste
275,6588194,,,ground cayenne pepper to taste
276,6588194,1,(15 ounce) can,"black beans, drained"
277,6588194,1,(4 ounce) can,"diced green chile peppers, drained"
278,6588194,⅓,cup,shredded carrots
279,6588194,2,cups,shredded Swiss cheese
280,6650541,⅓,cup,plain yogurt
281,6650541,1,medium,"lime, zested and juiced"
282,6650541,2,teaspoons,kosher salt
283,6650541,1,teaspoon,ground paprika
284,6650541,1,teaspoon,ground cumin
285,6650541,½,teaspoon,ground coriander
286,6650541,¼,teaspoon,cayenne pepper
287,6650541,¼,teaspoon,ground white pepper
288,6650541,¼,teaspoon,ground cardamom
289,6650541,¼,teaspoon,ground cinnamon
290,6650541,¼,teaspoon,ground allspice
291,6650541,1,(2 to 3 pound),"whole chicken, cut into 8 pieces"
292,6582484,1,pound,lean ground beef
293,6582484,1,,"onion, finely diced"
294,6582484,1,(14.5 ounce) can,diced tomatoes
295,6582484,1,(10.5 ounce) can,condensed cream of mushroom soup
296,6582484,1,cup,instant rice
297,6582484,2,teaspoons,white sugar
298,6582484,1,tablespoon,garlic powder
299,6582484,1,teaspoon,dried thyme
300,6582484,1,teaspoon,dried oregano
301,6582484,6,slices,American cheese
302,6594097,2,cups,water
303,6594097,1,cup,rice
304,6594097,4,,"skinless, boneless chicken breast halves, cut into bite-size pieces"
305,6594097,1,pinch,salt and freshly ground black pepper to taste
306,6594097,1,(26 ounce) can,cream of chicken soup
307,6594097,1,cup,milk
308,6594097,1,cup,shredded Mexican blend cheese
309,6594097,1,(10 ounce) can,"refrigerated flaky-style biscuit dough, separated"
310,6737548,4,teaspoons,olive oil
311,6737548,6,tablespoons,sour cream
312,6737548,4,ounces,shredded Cheddar cheese
313,6737548,2,cups,fresh sliced mushrooms
314,6737548,1,(16 ounce) jar,salsa
315,6737548,2,cups,cooked white rice
316,6737548,8,ounces,"boneless chicken breast halves, cooked and diced"
317,6599051,2,cups,cooked rice
318,6599051,1 ½,cups,chopped cooked turkey
319,6599051,1,(12 fluid ounce) can,evaporated milk
320,6599051,1,cup,shredded Monterey Jack cheese
321,6599051,1,cup,shredded Cheddar cheese
322,6599051,1,cup,"frozen mixed vegetables, thawed"
323,6599051,½,cup,chopped onion
324,6599051,1,(4 ounce) can,chopped green chiles
325,6599051,2,,"eggs, beaten"
326,6599051,¼,cup,chopped fresh cilantro
327,6599051,3,tablespoons,"butter, melted"
328,6599750,1,pound,ground beef
329,6599750,1,(26 ounce) jar,spaghetti sauce
330,6599750,½,teaspoon,garlic powder
331,6599750,3,cups,"cooked rice, cooled"
332,6599750,2,,"eggs, lightly beaten"
333,6599750,¾,cup,"shredded Parmesan cheese, divided"
334,6599750,2 ¼,cups,shredded mozzarella cheese
335,6599750,2,cups,cottage cheese
336,6600974,2,cups,water
337,6600974,1,cup,uncooked white rice
338,6600974,1 ½,pounds,"leftover roast pork, cubed"
339,6600974,2,(10.75 ounce) cans,condensed cream of celery soup
340,6600974,½,cup,mayonnaise
341,6600974,½,teaspoon,ground black pepper
342,6600974,½,teaspoon,curry powder
343,6600974,1,(10 ounce) package,"frozen broccoli, thawed"
344,6586165,2,cups,water
345,6586165,1,cup,uncooked white rice
346,6586165,1,pound,crab meat
347,6586165,2,(12 ounce) packages,"frozen shrimp, thawed"
348,6586165,2,cups,mayonnaise
349,6586165,1,cup,chopped onion
350,6586165,2,cups,milk
351,6586165,1,teaspoon,hot pepper sauce
352,6586165,½,cup,sliced almonds
353,6586165,10,,"buttery round crackers, crushed"
354,6663225,28,ounces,"fresh, ground spicy pork sausage"
355,6663225,1,cup,uncooked long-grain rice
356,6663225,1,slice,"onion, diced"
357,6663225,3,cloves,"garlic, minced"
358,6663225,1,,"green bell pepper, chopped"
359,6663225,1,,"red bell pepper, chopped"
360,6663225,1,(28 ounce) can,"whole peeled tomatoes, crushed"
361,6663225,1,cup,chicken broth
362,6663225,1,teaspoon,salt
363,6663225,1,teaspoon,ground black pepper
364,6663225,1,teaspoon,cayenne pepper
365,6576951,3,large,boneless chicken breasts
366,6576951,2,(14 ounce) cans,condensed cream of mushroom soup
367,6576951,1,cup,mayonnaise
368,6576951,1,(16 ounce) bag,steam-in-bag partially cooked frozen broccoli
369,6576951,1,,"onion, diced"
370,6576951,8,,"fresh mushrooms, or more to taste, sliced (Optional)"
371,6576951,3,cups,"shredded Cheddar cheese, or more to taste"
372,6576951,2,cups,cooked rice
373,6574304,4,cups,water
374,6574304,2,cups,uncooked jasmine rice
375,6574304,20,ounces,"thick-cut bacon, chopped"
376,6574304,8,,"skinless, boneless chicken breast halves"
377,6574304,½,teaspoon,"garlic powder, or to taste"
378,6574304,½,teaspoon,"onion powder, or to taste"
379,6574304,½,teaspoon,"ground nutmeg, or to taste"
380,6574304,,,salt and ground black pepper to taste
381,6574304,½,cup,butter
382,6574304,3,cups,heavy whipping cream
383,6574304,½,(10.75 ounce) can,condensed cream of mushroom soup
384,6574304,½,(10.75 ounce) can,condensed cream of chicken soup
385,6597424,2,tablespoons,butter
386,6597424,1,medium,"onion, sliced"
387,6597424,2,,"chicken breasts, cut into 2 inch pieces"
388,6597424,1,(16 ounce) can,"stewed tomatoes, undrained"
389,6597424,1,(8 ounce) package,"black beans, cooked and drained"
390,6597424,½,cup,uncooked white rice
391,6597424,2,ounces,"green chile peppers, diced"
392,6597424,2,tablespoons,chopped fresh cilantro
393,6597424,1,tablespoon,ground cumin
394,6573663,2,,"cooked skinless, boneless chicken breast halves, cubed"
395,6573663,1,cup,mayonnaise
396,6573663,1,cup,sour cream
397,6573663,1,(10.5 ounce) can,condensed cream of chicken soup
398,6573663,2,cups,cooked white rice
399,6573663,¼,cup,slivered almonds
400,6573663,2,cups,shredded mozzarella cheese
401,6573663,2,cups,shredded Cheddar cheese
402,6573663,2,cups,crushed potato chips
403,6586120,3,cups,water
404,6586120,4,cubes,chicken bouillon
405,6586120,2,cups,instant brown rice
406,6586120,2,tablespoons,cornstarch
407,6586120,¼,cup,olive oil
408,6586120,4,,"boneless, skinless chicken breast halves"
409,6586120,1,teaspoon,dried thyme
410,6586120,1,teaspoon,dried sage
411,6586120,2,teaspoons,dried basil
412,6586120,1,teaspoon,dried parsley
413,6586120,1,teaspoon,dried marjoram
414,6586120,1,,"medium onion, chopped"
415,6586120,2,(10 ounce) packages,"frozen chopped spinach, thawed and drained"
416,6586120,2,cups,cottage cheese
417,6586120,,,salt and pepper to taste
418,6586120,½,cup,Parmesan cheese
419,6586120,¼,cup,margarine
420,6591612,2,tablespoons,"all-purpose flour, or more as needed"
421,6591612,6,,pork chops
422,6591612,,,salt and pepper to taste
423,6591612,2,tablespoons,olive oil
424,6591612,1,cup,uncooked long grain white rice
425,6591612,1,cup,beef consomme
426,6591612,½,cup,water
427,6591612,1,medium,"onion, thinly sliced"
428,6579052,,,cooking spray
429,6579052,1 ¾,cups,"water, divided"
430,6579052,1,(6.9 ounce) package,chicken-flavored rice and vermicelli mix
431,6579052,4,4 tablespoons,"basil pesto, divided"
