id_recipe,prep_time,cook_time,total_time,freeze_time,cool_time,stand_time,chill_time,soak_time,marinate_time,additional_time,refrigerate_time,rest_time,active_time,bake_time,grill_time,rise_time,fry_time,other_time_time,roast_time,process_time,release_pressure_time
7569687,15 mins,30 mins,45 mins,,,,,,,,,,,,,,,,,,
7568539,15 mins, 5 hrs, 5 hrs 15 mins,,,,,,,,,,,,,,,,,,
7570645,20 mins,45 mins, 1 hr 25 mins,,20 mins,,,,,,,,,,,,,,,,
7570313,10 mins,5 mins,15 mins,,,,,,,,,,,,,,,,,,
7570594,15 mins,25 mins,40 mins,,,,,,,,,,,,,,,,,,
7570245,20 mins,15 mins,35 mins,,,,,,,,,,,,,,,,,,
7570310,5 mins,,5 mins,,,,,,,,,,,,,,,,,,
7568835,20 mins,6 mins,26 mins,,,,,,,,,,,,,,,,,,
7568422,15 mins,38 mins,53 mins,,,,,,,,,,,,,,,,,,
7568496,5 mins,10 mins,55 mins,,,30 mins,,,,,,10 mins,,,,,,,,,
7568897,5 mins,0 mins,5 mins,,,,,,,,,,,,,,,,,,
7567945,15 mins,30 mins,45 mins,,,,,,,,,,,,,,,,,,
7565207,5 mins,20 mins,25 mins,,,,,,,,,,,,,,,,,,
7563309,4 mins,6 mins,10 mins,,,,,,,,,,,,,,,,,,
7561904,5 mins,4 mins,9 mins,,,,,,,,,,,,,,,,,,
7559275,15 mins,10 mins,25 mins,,,,,,,,,,,,,,,,,,
7564469,15 mins,40 mins, 2 hrs 55 mins,,,,,, 2 hrs,,,,,,,,,,,,
7564453,20 mins,12 mins,32 mins,,,,,,,,,,,,,,,,,,
7564428,15 mins,15 mins,30 mins,,,,,,,,,,,,,,,,,,
7564426,10 mins,0 mins, 1 hr 20 mins,,,10 mins,,,,, 1 hr,,,,,,,,,,
7564806,15 mins,40 mins,55 mins,,,,,,,,,,,,,,,,,,
7562426,20 mins,30 mins,50 mins,,,,,,,,,,,,,,,,,,
7561932,20 mins,10 mins,30 mins,,,,,,,,,,,,,,,,,,
7561794,10 mins,,10 mins,,,,,,,,,,,,,,,,,,
7559150,15 mins,0 mins,15 mins,,,,,,,,,,,,,,,,,,
7560812,10 mins,15 mins,25 mins,,,,,,,,,,,,,,,,,,
7561826,10 mins,15 mins,40 mins,,15 mins,,,,,,,,,,,,,,,,
7562213,10 mins,1 mins,26 mins,,15 mins,,,,,,,,,,,,,,,,
7559189,10 mins,, 6 hrs 10 mins,,,,,,,, 6 hrs,,,,,,,,,,
7558696,15 mins,,15 mins,,,,,,,,,,,,,,,,,,
7559340,15 mins,10 mins,40 mins,,15 mins,,,,,,,,,,,,,,,,
7560880,10 mins,, 2 hrs 10 mins,,,, 2 hrs,,,,,,,,,,,,,,
7558651,10 mins,5 mins,15 mins,,,,,,,,,,,,,,,,,,
7558586,20 mins,25 mins,45 mins,,,,,,,,,,,,,,,,,,
7557506,5 mins,15 mins,20 mins,,,,,,,,,,,,,,,,,,
7553405,10 mins,12 mins, 4 hrs 22 mins,,,,,, 4 hrs,,,,,,,,,,,,
7556586,5 mins,0 mins, 2 hrs 5 mins,,, 1 hr, 1 hr,,,,,,,,,,,,,,
7554240,15 mins,0 mins,1 day 15 mins,1 day,,,,,,,,,,,,,,,,,
7554904,12 mins,8 mins,20 mins,,,,,,,,,,,,,,,,,,
7552440,10 mins,1 mins,11 mins,,,,,,,,,,,,,,,,,,
7553999,10 mins,25 mins,35 mins,,,,,,,,,,,,,,,,,,
7553311,20 mins,15 mins, 1 hr 40 mins,,,5 mins,,, 1 hr,,,,,,,,,,,,
6589581,30 mins, 1 hr, 1 hr 30 mins,,,,,,,,,,,,,,,,,,
6581123,30 mins,40 mins, 1 hr 10 mins,,,,,,,,,,,,,,,,,,
6604035,20 mins,35 mins,55 mins,,,,,,,,,,,,,,,,,,
6593854,30 mins,, 2 hrs 30 mins,,,,,,, 2 hrs,,,,,,,,,,,
6589268,30 mins,50 mins, 1 hr 30 mins,,,,,,,10 mins,,,,,,,,,,,
6569681,10 mins,28 mins,38 mins,,,,,,,,,,,,,,,,,,
6565455,10 mins,40 mins, 2 hrs 50 mins,,,,,,, 2 hrs,,,,,,,,,,,
6585977,,,,,,,,,,,,,,,,,,,,,
6564704,4 mins,1 mins,5 mins,,,,,,,,,,,,,,,,,,
6583374,25 mins,50 mins, 2 hrs 20 mins,,,,,,, 1 hr 5 mins,,,,,,,,,,,
6592331,20 mins,25 mins, 2 hrs 45 mins,,,,,,, 2 hrs,,,,,,,,,,,
6589191,30 mins, 1 hr, 1 hr 30 mins,,,,,,,,,,,,,,,,,,
6571241,30 mins, 1 hr, 1 hr 30 mins,,,,,,,,,,,,,,,,,,
6589050,30 mins,40 mins, 1 hr 35 mins,,,,,,,25 mins,,,,,,,,,,,
6568350,,,,,,,,,,,,,,,,,,,,,
6648407,20 mins, 1 hr, 1 hr 20 mins,,,,,,,,,,,,,,,,,,
6562933,30 mins,20 mins, 3 hrs 50 mins,,,,,,, 3 hrs,,,,,,,,,,,
6591564,30 mins,35 mins, 1 hr 35 mins,,,,,,,30 mins,,,,,,,,,,,
6663940,15 mins,,15 mins,,,,,,,,,,,,,,,,,,
6595792,20 mins,10 mins,50 mins,,,,,,,20 mins,,,,,,,,,,,
6650734,10 mins,,10 mins,,,,,,,,,,,,,,,,,,
