id_recipe,prep_time,cook_time,total_time,freeze_time,cool_time,stand_time,chill_time,soak_time,marinate_time,additional_time,refrigerate_time,rest_time,active_time,bake_time,grill_time,rise_time,fry_time,other_time_time,roast_time,process_time,release_pressure_time
6580993,20 mins,45 mins, 1 hr 15 mins,,,,,,,10 mins,,,,,,,,,,,
6650015,15 mins,40 mins,55 mins,,,,,,,,,,,,,,,,,,
6576869,20 mins,35 mins, 1 hr 40 mins,,,,,,,45 mins,,,,,,,,,,,
6664118,45 mins,55 mins, 1 hr 40 mins,,,,,,,,,,,,,,,,,,
6599489,20 mins,30 mins, 1 hr,,,,,,,10 mins,,,,,,,,,,,
6592766,15 mins,30 mins,45 mins,,,,,,,,,,,,,,,,,,
6584065,15 mins,20 mins,35 mins,,,,,,,,,,,,,,,,,,
6591974,15 mins,45 mins, 1 hr,,,,,,,,,,,,,,,,,,
6575112,20 mins,30 mins,50 mins,,,,,,,,,,,,,,,,,,
6737170,15 mins,35 mins,50 mins,,,,,,,,,,,,,,,,,,
6649378,45 mins,20 mins, 1 hr 5 mins,,,,,,,,,,,,,,,,,,
6739384,,,,,,,,,,,,,,,,,,,,,
6576097,10 mins,25 mins,35 mins,,,,,,,,,,,,,,,,,,
6571709,30 mins,45 mins, 1 hr 15 mins,,,,,,,,,,,,,,,,,,
6739116,15 mins,22 mins,47 mins,,,,,,,10 mins,,,,,,,,,,,
6580802,5 mins,15 mins,20 mins,,,,,,,,,,,,,,,,,,
6664286,15 mins,45 mins, 1 hr,,,,,,,,,,,,,,,,,,
6575616,20 mins,40 mins, 1 hr,,,,,,,,,,,,,,,,,,
6595195,15 mins,25 mins,40 mins,,,,,,,,,,,,,,,,,,
6599732,20 mins,35 mins,55 mins,,,,,,,,,,,,,,,,,,
6570194,15 mins,20 mins,40 mins,,,,,,,5 mins,,,,,,,,,,,
6578801,30 mins, 1 hr 10 mins, 1 hr 40 mins,,,,,,,,,,,,,,,,,,
6592560,20 mins,30 mins,50 mins,,,,,,,,,,,,,,,,,,
6568664,20 mins, 1 hr, 1 hr 20 mins,,,,,,,,,,,,,,,,,,
6578555,20 mins,45 mins, 1 hr 5 mins,,,,,,,,,,,,,,,,,,
6604008,15 mins,40 mins,55 mins,,,,,,,,,,,,,,,,,,
6593229,10 mins,15 mins,25 mins,,,,,,,,,,,,,,,,,,
6591062,10 mins,45 mins,55 mins,,,,,,,,,,,,,,,,,,
6605421,15 mins,45 mins, 1 hr,,,,,,,,,,,,,,,,,,
6588416,15 mins,50 mins, 1 hr 5 mins,,,,,,,,,,,,,,,,,,
6663673,25 mins,25 mins, 1 hr 40 mins,,,,,,,50 mins,,,,,,,,,,,
7375874,30 mins,30 mins, 2 hrs,,30 mins,,30 mins,,,,,,,,,,,,,,
7182120,20 mins,25 mins,45 mins,,,,,,,,,,,,,,,,,,
6649779,10 mins,15 mins,25 mins,,,,,,,,,,,,,,,,,,
6577174,15 mins,20 mins,35 mins,,,,,,,,,,,,,,,,,,
6572840,15 mins,10 mins,25 mins,,,,,,,,,,,,,,,,,,
6578191,30 mins,20 mins, 2 hrs 35 mins,,,,,,, 1 hr 45 mins,,,,,,,,,,,
6650722,45 mins,20 mins, 1 hr 25 mins,,,,,,,20 mins,,,,,,,,,,,
6600927,20 mins,10 mins,55 mins,,,,,,,25 mins,,,,,,,,,,,
6651187,20 mins,20 mins, 2 hrs 40 mins,,,,,,, 2 hrs,,,,,,,,,,,
6589632,10 mins,20 mins,40 mins,,,,,,,10 mins,,,,,,,,,,,
6597498,15 mins,20 mins,40 mins,,,,,,,5 mins,,,,,,,,,,,
6577872,10 mins,20 mins, 4 hrs 30 mins,,,,,,, 4 hrs,,,,,,,,,,,
6584116,15 mins,20 mins,35 mins,,,,,,,,,,,,,,,,,,
6606169,,,,,,,,,,,,,,,,,,,,,
6739565,15 mins,15 mins,35 mins,,,,,,,5 mins,,,,,,,,,,,
6736535,30 mins,20 mins,50 mins,,,,,,,,,,,,,,,,,,
6738313,25 mins,20 mins, 1 hr 45 mins,,,,,,, 1 hr,,,,,,,,,,,
6584853,40 mins,25 mins, 1 hr 15 mins,,,,,,,10 mins,,,,,,,,,,,
6738772,30 mins,25 mins, 1 hr 55 mins,,,,,,, 1 hr,,,,,,,,,,,
6575689,20 mins,20 mins, 1 hr 10 mins,,,,,,,30 mins,,,,,,,,,,,
6573868,,,,,,,,,,,,,,,,,,,,,
6663670, 2 hrs 50 mins,40 mins, 4 hrs 25 mins,,,,,,,55 mins,,,,,,,,,,,
6739507,30 mins,30 mins, 2 hrs 40 mins,,,,,,, 1 hr 40 mins,,,,,,,,,,,
6590775,10 mins,20 mins,30 mins,,,,,,,,,,,,,,,,,,
6571934,15 mins,20 mins,35 mins,,,,,,,,,,,,,,,,,,
6601967,15 mins,20 mins, 1 hr 45 mins,,,,,,, 1 hr 10 mins,,,,,,,,,,,
6572024,25 mins,20 mins, 1 hr 15 mins,,,,,,,30 mins,,,,,,,,,,,
6574734,15 mins,20 mins,35 mins,,,,,,,,,,,,,,,,,,
6600283,20 mins,25 mins,45 mins,,,,,,,,,,,,,,,,,,
6582014,30 mins,30 mins, 1 hr 20 mins,,,,,,,20 mins,,,,,,,,,,,
6577912,20 mins,20 mins,40 mins,,,,,,,,,,,,,,,,,,
6568347,15 mins,20 mins,40 mins,,,,,,,5 mins,,,,,,,,,,,
6737517,30 mins,25 mins,55 mins,,,,,,,,,,,,,,,,,,
6650864,30 mins,20 mins, 1 hr 35 mins,,,,,,,45 mins,,,,,,,,,,,
6737418,20 mins,20 mins,50 mins,,,,,,,10 mins,,,,,,,,,,,
6581091,20 mins,15 mins,40 mins,,,,,,,5 mins,,,,,,,,,,,
6606084,30 mins,20 mins,50 mins,,,,,,,,,,,,,,,,,,
6737377, 1 hr,20 mins, 2 hrs 25 mins,,,,,,, 1 hr 5 mins,,,,,,,,,,,
6604185, 1 hr 10 mins, 1 hr 30 mins,12 days 11 hrs 10 mins,,,,,,,12 days 8 hrs 30 mins,,,,,,,,,,,
6589914,15 mins,10 mins,55 mins,,,,,,,30 mins,,,,,,,,,,,
6575203,20 mins,20 mins,40 mins,,,,,,,,,,,,,,,,,,
6739385,15 mins,25 mins,40 mins,,,,,,,,,,,,,,,,,,
6585915,10 mins,15 mins,35 mins,,,,,,,10 mins,,,,,,,,,,,
6599435,25 mins,15 mins, 1 hr 5 mins,,,,,,,25 mins,,,,,,,,,,,
6596703,10 mins,20 mins,35 mins,,,,,,,5 mins,,,,,,,,,,,
6739128,30 mins,18 mins, 2 hrs 3 mins,,,,,,, 1 hr 15 mins,,,,,,,,,,,
6578315,10 mins,15 mins, 3 hrs 25 mins,,,,,,, 3 hrs,,,,,,,,,,,
6573302,15 mins,10 mins,25 mins,,,,,,,,,,,,,,,,,,
6738269,30 mins,20 mins, 1 hr 20 mins,,,,,,,30 mins,,,,,,,,,,,
6583629,30 mins,15 mins, 1 hr 20 mins,,,,,,,35 mins,,,,,,,,,,,
6578547,45 mins,15 mins, 4 hrs,,,,,,, 3 hrs,,,,,,,,,,,
6568840, 1 hr,10 mins, 3 hrs 10 mins,,,,,,, 2 hrs,,,,,,,,,,,
6663119,25 mins,45 mins, 1 hr 15 mins,,,,,,,5 mins,,,,,,,,,,,
6570148,45 mins,30 mins, 9 hrs 45 mins,,,,,,, 8 hrs 30 mins,,,,,,,,,,,
6650557,10 mins,30 mins,40 mins,,,,,,,,,,,,,,,,,,
6603013,15 mins, 1 hr, 2 hrs,,,,,,,45 mins,,,,,,,,,,,
6597706, 1 hr,20 mins, 2 hrs 35 mins,,,,,,, 1 hr 15 mins,,,,,,,,,,,
6604466,45 mins,20 mins, 3 hrs 20 mins,,,,,,, 2 hrs 15 mins,,,,,,,,,,,
6592894,40 mins,25 mins, 2 hrs 45 mins,,,,,,, 1 hr 40 mins,,,,,,,,,,,
6584625,10 mins,15 mins,30 mins,,,,,,,5 mins,,,,,,,,,,,
6600439,50 mins,25 mins, 14 hrs 10 mins,,,,,,, 12 hrs 55 mins,,,,,,,,,,,
6575787,30 mins,15 mins, 1 hr,,,,,,,15 mins,,,,,,,,,,,
6595269,20 mins, 1 hr, 1 hr 20 mins,,,,,,,,,,,,,,,,,,
6739106,20 mins,18 mins,38 mins,,,,,,,,,,,,,,,,,,
6572530,20 mins,10 mins,45 mins,,,,,,,15 mins,,,,,,,,,,,
6595328,20 mins,25 mins, 1 hr,,,,,,,15 mins,,,,,,,,,,,
6578498,30 mins,25 mins, 4 hrs 55 mins,,,,,,, 4 hrs,,,,,,,,,,,
6572831,55 mins,20 mins, 1 hr 15 mins,,,,,,,,,,,,,,,,,,
6576697,15 mins,30 mins, 1 hr 5 mins,,,,,,,20 mins,,,,,,,,,,,
6578229,20 mins,30 mins, 3 hrs 15 mins,,,,,,, 2 hrs 25 mins,,,,,,,,,,,
6589414,15 mins,,15 mins,,,,,,,,,,,,,,,,,,
6591051, 1 hr,25 mins, 6 hrs 25 mins,,,,,,, 5 hrs,,,,,,,,,,,
6573425,45 mins,25 mins, 4 hrs 40 mins,,,,,,, 3 hrs 30 mins,,,,,,,,,,,
6664674,30 mins,35 mins, 2 hrs 45 mins,,,,,,, 1 hr 40 mins,,,,,,,,,,,
6591408,30 mins,15 mins, 1 hr 15 mins,,,,,,,30 mins,,,,,,,,,,,
7775443,30 mins,10 mins, 2 hrs 25 mins,30 mins,,, 1 hr 15 mins,,,,,,,,,,,,,,
7693661,25 mins,35 mins, 1 hr,,,,,,,,,,,,,,,,,,
7566967,15 mins,2 mins, 4 hrs 17 mins, 4 hrs,,,,,,,,,,,,,,,,,
6597426,20 mins,, 8 hrs 20 mins,,,,,,, 8 hrs,,,,,,,,,,,
7550349,10 mins,, 8 hrs 10 mins, 8 hrs,,,,,,,,,,,,,,,,,
7506803,5 mins,5 mins,10 mins,,,,,,,,,,,,,,,,,,
7485220,15 mins,,15 mins,,,,,,,,,,,,,,,,,,
7484640,5 mins,10 mins,15 mins,,,,,,,,,,,,,,,,,,
7486405,5 mins,10 mins,15 mins,,,,,,,,,,,,,,,,,,
7252818,30 mins,40 mins, 1 hr 40 mins,,10 mins,,,,,,,,,,,,,,,,
7108820,30 mins,7 mins, 1 hr 37 mins,,,, 1 hr,,,,,,,,,,,,,,
7108599,20 mins,25 mins, 3 hrs 45 mins,,,,,,, 3 hrs,,,,,,,,,,,
7107012,15 mins,, 4 hrs 15 mins,,,,,,,, 4 hrs,,,,,,,,,,
7106098,15 mins,,50 mins,,,,,,,15 mins,,,,20 mins,,,,,,,
7105073,, 1 hr 30 mins, 3 hrs 40 mins,, 1 hr 40 mins,,,,,,,,30 mins,,,,,,,,
6649373,5 mins,,5 mins,,,,,,,,,,,,,,,,,,
7097881,5 mins,,5 mins,,,,,,,,,,,,,,,,,,
6664599,5 mins,, 4 hrs 10 mins, 4 hrs 5 mins,,,,,,,,,,,,,,,,,
6650715,15 mins,,15 mins,,,,,,,,,,,,,,,,,,
6738553,30 mins,10 mins, 1 hr 30 mins,,,,,,,50 mins,,,,,,,,,,,
6663619,10 mins,15 mins,25 mins,,,,,,,,,,,,,,,,,,
6577983,15 mins,5 mins, 1 hr,,,,,,,40 mins,,,,,,,,,,,
6663465,10 mins,,10 mins,,,,,,,,,,,,,,,,,,
6601429,15 mins,5 mins,30 mins,,,,,,,10 mins,,,,,,,,,,,
6739810,25 mins,15 mins,40 mins,,,,,,,,,,,,,,,,,,
6576627,20 mins,,20 mins,,,,,,,,,,,,,,,,,,
6651090,30 mins,5 mins, 1 hr 12 mins,,,,,,,37 mins,,,,,,,,,,,
6596628,10 mins,5 mins,35 mins,,,,,,,20 mins,,,,,,,,,,,
6737497,20 mins,25 mins, 1 hr,,,,,,,15 mins,,,,,,,,,,,
6580775,10 mins,5 mins,30 mins,,,,,,,15 mins,,,,,,,,,,,
6649256,10 mins,15 mins,45 mins,,,,,,,20 mins,,,,,,,,,,,
6737523,20 mins,,20 mins,,,,,,,,,,,,,,,,,,
6650275,15 mins,,15 mins,,,,,,,,,,,,,,,,,,
6650143,10 mins,10 mins,20 mins,,,,,,,,,,,,,,,,,,
6573364,20 mins,7 mins,27 mins,,,,,,,,,,,,,,,,,,
6738108,20 mins,15 mins,45 mins,,,,,,,10 mins,,,,,,,,,,,
6738580,15 mins,15 mins, 2 hrs 30 mins,,,,,,, 2 hrs,,,,,,,,,,,
6586267,10 mins,5 mins,30 mins,,,,,,,15 mins,,,,,,,,,,,
6738860,30 mins,,30 mins,,,,,,,,,,,,,,,,,,
6573443,20 mins,10 mins,40 mins,,,,,,,10 mins,,,,,,,,,,,
6738445,20 mins,20 mins, 1 hr 15 mins,,,,,,,35 mins,,,,,,,,,,,
6570808,20 mins,20 mins,55 mins,,,,,,,15 mins,,,,,,,,,,,
6580641,20 mins,15 mins, 1 hr 10 mins,,,,,,,35 mins,,,,,,,,,,,
6570880,15 mins,15 mins, 1 hr 30 mins,,,,,,, 1 hr,,,,,,,,,,,
6591512,20 mins,15 mins,50 mins,,,,,,,15 mins,,,,,,,,,,,
6596304,20 mins,10 mins,45 mins,,,,,,,15 mins,,,,,,,,,,,
6602656,15 mins,,15 mins,,,,,,,,,,,,,,,,,,
6740893,10 mins,5 mins, 1 hr,,,,,,,45 mins,,,,,,,,,,,
6664807,35 mins,,35 mins,,,,,,,,,,,,,,,,,,
6572374,15 mins,5 mins,20 mins,,,,,,,,,,,,,,,,,,
6605474,15 mins,20 mins,35 mins,,,,,,,,,,,,,,,,,,
6586104,15 mins,15 mins,30 mins,,,,,,,,,,,,,,,,,,
6664038,15 mins,15 mins, 1 hr 10 mins,,,,,,,40 mins,,,,,,,,,,,
6573036,10 mins,5 mins,25 mins,,,,,,,10 mins,,,,,,,,,,,
6595696,15 mins,15 mins, 1 hr,,,,,,,30 mins,,,,,,,,,,,
6651156,25 mins,,25 mins,,,,,,,,,,,,,,,,,,
6738122,15 mins,20 mins,35 mins,,,,,,,,,,,,,,,,,,
6594078,15 mins,,15 mins,,,,,,,,,,,,,,,,,,
6741643,20 mins,15 mins,50 mins,,,,,,,15 mins,,,,,,,,,,,
6572988,20 mins,25 mins, 1 hr,,,,,,,15 mins,,,,,,,,,,,
6586318,10 mins,, 1 hr 10 mins,,,,,,, 1 hr,,,,,,,,,,,
6740962,30 mins,, 1 hr,,,,,,,30 mins,,,,,,,,,,,
6578237,15 mins,20 mins, 1 hr 35 mins,,,,,,, 1 hr,,,,,,,,,,,
6599434,15 mins,15 mins, 1 hr,,,,,,,30 mins,,,,,,,,,,,
6568720,30 mins,45 mins, 2 hrs 45 mins,,,,,,, 1 hr 30 mins,,,,,,,,,,,
6579340,15 mins,15 mins, 1 hr,,,,,,,30 mins,,,,,,,,,,,
6573551,15 mins,15 mins,45 mins,,,,,,,15 mins,,,,,,,,,,,
6586016,15 mins,25 mins, 1 hr 10 mins,,,,,,,30 mins,,,,,,,,,,,
6582505,30 mins,5 mins,50 mins,,,,,,,15 mins,,,,,,,,,,,
6578959,20 mins,5 mins,3 days 25 mins,,,,,,,3 days,,,,,,,,,,,
6737659,15 mins,15 mins,50 mins,,,,,,,20 mins,,,,,,,,,,,
6585910,15 mins,15 mins, 1 hr 30 mins,,,,,,, 1 hr,,,,,,,,,,,
6581184,15 mins,,15 mins,,,,,,,,,,,,,,,,,,
6572269,30 mins,15 mins, 1 hr,,,,,,,15 mins,,,,,,,,,,,
6597402,30 mins,10 mins,45 mins,,,,,,,5 mins,,,,,,,,,,,
6648314,20 mins,20 mins, 1 hr,,,,,,,20 mins,,,,,,,,,,,
6602979,20 mins,15 mins,35 mins,,,,,,,,,,,,,,,,,,
6581154,10 mins,10 mins,35 mins,,,,,,,15 mins,,,,,,,,,,,
6581035,15 mins,15 mins, 1 hr,,,,,,,30 mins,,,,,,,,,,,
6600372,15 mins,15 mins,30 mins,,,,,,,,,,,,,,,,,,
6663120,5 mins,5 mins,20 mins,,,,,,,10 mins,,,,,,,,,,,
6663158,5 mins,25 mins,30 mins,,,,,,,,,,,,,,,,,,
6664771,30 mins, 1 hr 30 mins, 2 hrs,,,,,,,,,,,,,,,,,,
6664793,10 mins,10 mins,20 mins,,,,,,,,,,,,,,,,,,
6603277,10 mins,15 mins,25 mins,,,,,,,,,,,,,,,,,,
6594528,10 mins,5 mins,15 mins,,,,,,,,,,,,,,,,,,
6649500,20 mins, 1 hr 25 mins, 1 hr 45 mins,,,,,,,,,,,,,,,,,,
6582924,10 mins, 2 hrs, 2 hrs 15 mins,,,,,,,5 mins,,,,,,,,,,,
6577852,5 mins,5 mins,10 mins,,,,,,,,,,,,,,,,,,
6592681,20 mins,20 mins,40 mins,,,,,,,,,,,,,,,,,,
6579043,10 mins,,10 mins,,,,,,,,,,,,,,,,,,
6574310,10 mins,25 mins,35 mins,,,,,,,,,,,,,,,,,,
6589392,30 mins,25 mins,1 day 1 hr 25 mins,,,,,,,1 day 30 mins,,,,,,,,,,,
6580761,15 mins,25 mins,40 mins,,,,,,,,,,,,,,,,,,
6598795,35 mins, 1 hr, 2 hrs 5 mins,,,,,,,30 mins,,,,,,,,,,,
6738427,20 mins,10 mins, 1 hr 5 mins,,,,,,,35 mins,,,,,,,,,,,
6648361,10 mins,1 day 30 mins,1 day 40 mins,,,,,,,,,,,,,,,,,,
6663947,5 mins,40 mins,45 mins,,,,,,,,,,,,,,,,,,
6649618,10 mins,20 mins,30 mins,,,,,,,,,,,,,,,,,,
6568751,10 mins,20 mins,30 mins,,,,,,,,,,,,,,,,,,
6586450,10 mins,35 mins,45 mins,,,,,,,,,,,,,,,,,,
6650820,20 mins,, 4 hrs 5 mins,,,,,,, 3 hrs 45 mins,,,,,,,,,,,
6587315,20 mins,35 mins,55 mins,,,,,,,,,,,,,,,,,,
6738070,10 mins,1 mins,11 mins,,,,,,,,,,,,,,,,,,
6649691,10 mins,20 mins,30 mins,,,,,,,,,,,,,,,,,,
6585275,5 mins,10 mins,15 mins,,,,,,,,,,,,,,,,,,
6663662,10 mins,15 mins,25 mins,,,,,,,,,,,,,,,,,,
6650238,5 mins,,5 mins,,,,,,,,,,,,,,,,,,
6574904,5 mins,20 mins,30 mins,,,,,,,5 mins,,,,,,,,,,,
6584298,15 mins, 2 hrs, 2 hrs 15 mins,,,,,,,,,,,,,,,,,,
6737361,10 mins,30 mins,40 mins,,,,,,,,,,,,,,,,,,
6604547,5 mins,25 mins,30 mins,,,,,,,,,,,,,,,,,,
6596053,5 mins,35 mins,50 mins,,,,,,,10 mins,,,,,,,,,,,
6737349,15 mins,10 mins,25 mins,,,,,,,,,,,,,,,,,,
6584260,15 mins,, 8 hrs 15 mins,,,,,,, 8 hrs,,,,,,,,,,,
6592675,30 mins,10 mins,40 mins,,,,,,,,,,,,,,,,,,
6587684,,,,,,,,,,,,,,,,,,,,,
6593543,30 mins,45 mins, 1 hr 15 mins,,,,,,,,,,,,,,,,,,
6664936,10 mins,25 mins,35 mins,,,,,,,,,,,,,,,,,,
6602117,5 mins,15 mins,30 mins,,,,,,,10 mins,,,,,,,,,,,
6573955,10 mins,,10 mins,,,,,,,,,,,,,,,,,,
6572856,5 mins,20 mins,25 mins,,,,,,,,,,,,,,,,,,
6602350,15 mins,25 mins,40 mins,,,,,,,,,,,,,,,,,,
6605919,5 mins,30 mins,35 mins,,,,,,,,,,,,,,,,,,
6589713,15 mins,17 mins, 2 hrs 32 mins,,,,,,, 2 hrs,,,,,,,,,,,
6577253,10 mins,,10 mins,,,,,,,,,,,,,,,,,,
6576542,10 mins,10 mins, 4 hrs 20 mins,,,,,,, 4 hrs,,,,,,,,,,,
6575972,5 mins,10 mins,15 mins,,,,,,,,,,,,,,,,,,
6576700,10 mins,3 mins,13 mins,,,,,,,,,,,,,,,,,,
6605646,5 mins,10 mins,15 mins,,,,,,,,,,,,,,,,,,
6586560,10 mins,20 mins,30 mins,,,,,,,,,,,,,,,,,,
7485475,20 mins,40 mins, 1 hr,,,,,,,,,,,,,,,,,,
7485208,15 mins,45 mins, 1 hr,,,,,,,,,,,,,,,,,,
6570161,25 mins, 2 hrs 25 mins, 2 hrs 50 mins,,,,,,,,,,,,,,,,,,
6834715,, 1 hr 30 mins, 10 hrs 10 mins,,,10 mins,,, 8 hrs,,,,30 mins,,,,,,,,
6832848,5 mins, 1 hr, 1 hr 10 mins,,,,,,,5 mins,,,,,,,,,,,
6573832,10 mins,35 mins,50 mins,,,,,,,5 mins,,,,,,,,,,,
6663818,15 mins, 1 hr 15 mins, 2 hrs,,,,,,,30 mins,,,,,,,,,,,
6663608,15 mins, 5 hrs, 5 hrs 15 mins,,,,,,,,,,,,,,,,,,
6651079,10 mins,15 mins,25 mins,,,,,,,,,,,,,,,,,,
6649199,20 mins, 1 hr 30 mins, 1 hr 50 mins,,,,,,,,,,,,,,,,,,
6664848,20 mins, 10 hrs, 10 hrs 20 mins,,,,,,,,,,,,,,,,,,
6649024,20 mins, 3 hrs, 3 hrs 30 mins,,,,,,,10 mins,,,,,,,,,,,
6649205,15 mins, 1 hr 35 mins, 1 hr 50 mins,,,,,,,,,,,,,,,,,,
6650737,5 mins,10 mins,15 mins,,,,,,,,,,,,,,,,,,
6664915,20 mins,20 mins,40 mins,,,,,,,,,,,,,,,,,,
6663227,15 mins, 1 hr 45 mins, 2 hrs 10 mins,,,,,,,10 mins,,,,,,,,,,,
6648365,25 mins, 3 hrs 5 mins, 11 hrs 30 mins,,,,,,, 8 hrs,,,,,,,,,,,
6663486,10 mins,10 mins,50 mins,,,,,,,30 mins,,,,,,,,,,,
6650404,45 mins, 2 hrs, 2 hrs 45 mins,,,,,,,,,,,,,,,,,,
6651072,10 mins,35 mins, 1 hr,,,,,,,15 mins,,,,,,,,,,,
6664641,15 mins,20 mins,45 mins,,,,,,,10 mins,,,,,,,,,,,
6574665,20 mins,30 mins, 12 hrs 50 mins,,,,,,, 12 hrs,,,,,,,,,,,
6596732,20 mins,30 mins, 8 hrs 50 mins,,,,,,, 8 hrs,,,,,,,,,,,
6569539,20 mins,15 mins,35 mins,,,,,,,,,,,,,,,,,,
6602957,15 mins,3 mins,33 mins,,,,,,,15 mins,,,,,,,,,,,
6597324,,,,,,,,,,,,,,,,,,,,,
6605135,5 mins,20 mins,25 mins,,,,,,,,,,,,,,,,,,
6583810,10 mins,7 mins,17 mins,,,,,,,,,,,,,,,,,,
6596950,10 mins, 1 hr 30 mins, 1 hr 40 mins,,,,,,,,,,,,,,,,,,
6736677,30 mins, 1 hr 20 mins, 1 hr 50 mins,,,,,,,,,,,,,,,,,,
6600620,20 mins,15 mins,35 mins,,,,,,,,,,,,,,,,,,
6664957,10 mins,20 mins,40 mins,,,,,,,10 mins,,,,,,,,,,,
6648409,20 mins,55 mins, 1 hr 15 mins,,,,,,,,,,,,,,,,,,
6664923,15 mins, 2 hrs, 4 hrs 15 mins,,,,,,, 2 hrs,,,,,,,,,,,
6601512,30 mins,20 mins,50 mins,,,,,,,,,,,,,,,,,,
6582933,20 mins,30 mins,50 mins,,,,,,,,,,,,,,,,,,
6571844,25 mins, 1 hr, 1 hr 25 mins,,,,,,,,,,,,,,,,,,
6737341,10 mins,45 mins, 2 hrs 55 mins,,,,,,, 2 hrs,,,,,,,,,,,
6736933,5 mins,15 mins, 2 hrs 20 mins,,,,,,, 2 hrs,,,,,,,,,,,
6741830,5 mins,20 mins, 1 hr 25 mins,,,,,,, 1 hr,,,,,,,,,,,
6736641,15 mins,,15 mins,,,,,,,,,,,,,,,,,,
6570247,15 mins,20 mins, 3 hrs 35 mins,,,,,,, 3 hrs,,,,,,,,,,,
6739734,20 mins,, 8 hrs 20 mins,,,,,,, 8 hrs,,,,,,,,,,,
6598893,20 mins,30 mins, 2 hrs 30 mins,,,,,,, 1 hr 40 mins,,,,,,,,,,,
6585011,5 mins,15 mins,20 mins,,,,,,,,,,,,,,,,,,
6580158,20 mins,35 mins, 1 hr 25 mins,,,,,,,30 mins,,,,,,,,,,,
6581198,5 mins,30 mins,35 mins,,,,,,,,,,,,,,,,,,
6565996,20 mins,7 mins, 1 hr 42 mins,,,,,,, 1 hr 15 mins,,,,,,,,,,,
6739873,20 mins,50 mins, 1 hr 10 mins,,,,,,,,,,,,,,,,,,
6573708,5 mins,10 mins,45 mins,,,,,,,30 mins,,,,,,,,,,,
6584410,25 mins,45 mins, 1 hr 25 mins,,,,,,,15 mins,,,,,,,,,,,
6597901,10 mins,17 mins, 1 hr 17 mins,,,,,,,50 mins,,,,,,,,,,,
6581423,30 mins,30 mins,1 day 1 hr,,,,,,,1 day,,,,,,,,,,,
6599392,15 mins,30 mins,45 mins,,,,,,,,,,,,,,,,,,
6604548,15 mins,50 mins, 1 hr 5 mins,,,,,,,,,,,,,,,,,,
6569288,15 mins,35 mins, 1 hr 50 mins,,,,,,, 1 hr,,,,,,,,,,,
6588275,10 mins,20 mins,30 mins,,,,,,,,,,,,,,,,,,
6590721,5 mins, 1 hr, 1 hr 5 mins,,,,,,,,,,,,,,,,,,
6567088,20 mins,10 mins,30 mins,,,,,,,,,,,,,,,,,,
6579856,25 mins,25 mins, 6 hrs 50 mins,,,,,,, 6 hrs,,,,,,,,,,,
6663331,10 mins,30 mins,40 mins,,,,,,,,,,,,,,,,,,
6604349,5 mins,30 mins,35 mins,,,,,,,,,,,,,,,,,,
6594966,5 mins,45 mins, 1 hr 50 mins,,,,,,, 1 hr,,,,,,,,,,,
6593799,45 mins,40 mins, 1 hr 25 mins,,,,,,,,,,,,,,,,,,
6595216,30 mins,30 mins, 2 hrs,,,,,,, 1 hr,,,,,,,,,,,
6602503,25 mins,45 mins, 1 hr 10 mins,,,,,,,,,,,,,,,,,,
6650295,30 mins,35 mins, 1 hr 35 mins,,,,,,,30 mins,,,,,,,,,,,
6577254,20 mins, 1 hr, 1 hr 25 mins,,,,,,,5 mins,,,,,,,,,,,
6601737,25 mins,40 mins, 1 hr 20 mins,,,,,,,15 mins,,,,,,,,,,,
6585164,,,,,,,,,,,,,,,,,,,,,
6591764,50 mins,20 mins, 1 hr 40 mins,,,,,,,30 mins,,,,,,,,,,,
6562414, 1 hr,10 mins, 1 hr 10 mins,,,,,,,,,,,,,,,,,,
6575594,30 mins,25 mins,55 mins,,,,,,,,,,,,,,,,,,
6588531,20 mins,25 mins,45 mins,,,,,,,,,,,,,,,,,,
6571272,15 mins,30 mins,45 mins,,,,,,,,,,,,,,,,,,
6561282,30 mins,25 mins, 1 hr 25 mins,,,,,,,30 mins,,,,,,,,,,,
6569376,5 mins,,1 day 5 mins,,,,,,,1 day,,,,,,,,,,,
6590878,20 mins,25 mins,45 mins,,,,,,,,,,,,,,,,,,
6587559,10 mins,15 mins,35 mins,,,,,,,10 mins,,,,,,,,,,,
6573700,10 mins,15 mins, 4 hrs 25 mins,,,,,,, 4 hrs,,,,,,,,,,,
6568895,20 mins,25 mins,45 mins,,,,,,,,,,,,,,,,,,
6575489,10 mins,, 2 hrs 10 mins,,,,,,, 2 hrs,,,,,,,,,,,
6737625,10 mins,25 mins,35 mins,,,,,,,,,,,,,,,,,,
6598921,5 mins,,35 mins,,,,,,,30 mins,,,,,,,,,,,
6578422,10 mins,25 mins, 1 hr 35 mins,,,,,,, 1 hr,,,,,,,,,,,
6564658,10 mins,10 mins,20 mins,,,,,,,,,,,,,,,,,,
6593507,5 mins,, 2 hrs 5 mins,,,,,,, 2 hrs,,,,,,,,,,,
6598903,15 mins,4 mins,49 mins,,,,,,,30 mins,,,,,,,,,,,
6648905,30 mins,,30 mins,,,,,,,,,,,,,,,,,,
6569351,15 mins,25 mins,40 mins,,,,,,,,,,,,,,,,,,
6664691,10 mins,10 mins,20 mins,,,,,,,,,,,,,,,,,,
7111100,40 mins,30 mins, 1 hr 40 mins,,,30 mins,,,,,,,,,,,,,,,
