URL,Category
https://www.allrecipes.com/recipes/839/desserts/cookies/chocolate-chip-cookies/,chocolate_chip_cookies
https://www.allrecipes.com/recipes/17151/desserts/candy/fudge/chocolate/,chocolate_fudge
https://www.allrecipes.com/recipes/174/soups-stews-and-chili/chowders/,chowders
https://www.allrecipes.com/recipes/187/holidays-and-events/christmas/,christmas
https://www.allrecipes.com/recipes/841/holidays-and-events/christmas/desserts/christmas-cookies/,christmas_cookies
https://www.allrecipes.com/recipes/1306/bread/pastries/cinnamon-rolls/,cinnamon_rolls
https://www.allrecipes.com/recipes/361/desserts/cobbler/,cobblers
https://www.allrecipes.com/recipes/133/drinks/cocktails/,cocktails
https://www.allrecipes.com/recipes/389/desserts/cakes/coffee-cake/,coffee_cakes
https://www.allrecipes.com/recipes/218/salad/coleslaw/,coleslaws
https://www.allrecipes.com/recipes/16099/everyday-cooking/comfort-food/,comfort_food
https://www.allrecipes.com/recipes/362/desserts/cookies/,cookies
https://www.allrecipes.com/recipes/17662/everyday-cooking/cooking-for-a-crowd/,cooking_for_a_crowd
https://www.allrecipes.com/recipes/15050/everyday-cooking/cooking-for-one/,cooking_for_one
https://www.allrecipes.com/recipes/476/everyday-cooking/cooking-for-two/,cooking_for_two
https://www.allrecipes.com/recipes/17539/everyday-cooking/more-meal-ideas/copycat/,copycat_recipes
https://www.allrecipes.com/recipes/342/bread/quick-bread/cornbread/,cornbread
https://www.allrecipes.com/recipes/472/main-dish/beef/corned-beef/,corned_beef
https://www.allrecipes.com/recipes/1240/appetizers-and-snacks/seafood/crab/crab-cakes/,crab_cakes
https://www.allrecipes.com/recipes/16212/appetizers-and-snacks/snacks/crackers/,crackers
https://www.allrecipes.com/recipes/1260/side-dish/sauces-and-condiments/sauces/cranberry-sauce/,cranberry_sauces
https://www.allrecipes.com/recipes/14444/desserts/custards-and-puddings/creme-brulee/,creme_brulee
https://www.allrecipes.com/recipes/15840/desserts/crisps-and-crumbles/,crisps_and_crumbles
https://www.allrecipes.com/recipes/377/desserts/cakes/cupcakes/,cupcakes
https://www.allrecipes.com/recipes/16327/bread/pastries/danishes/,danishes
https://www.allrecipes.com/recipes/79/desserts/,desserts
https://www.allrecipes.com/recipes/110/appetizers-and-snacks/deviled-eggs/,deviled_eggs
https://www.allrecipes.com/recipes/739/healthy-recipes/diabetic/,diabetic
https://www.allrecipes.com/recipes/17562/dinner/,dinner
https://www.allrecipes.com/recipes/752/desserts/candy/divinity/,divinity
https://www.allrecipes.com/recipes/23278/holidays-and-events/diwali/,diwali
https://www.allrecipes.com/recipes/355/bread/pastries/doughnuts/,doughnuts
https://www.allrecipes.com/recipes/16394/desserts/cookies/drop-cookies/,drop_cookies
https://www.allrecipes.com/recipes/535/main-dish/dumplings/,dumplings
https://www.allrecipes.com/recipes/188/holidays-and-events/easter/,easter
https://www.allrecipes.com/recipes/16366/appetizers-and-snacks/wraps-and-rolls/egg-rolls/,egg_rolls
https://www.allrecipes.com/recipes/1986/salad/egg-salad/,egg_salads
https://www.allrecipes.com/recipes/141/drinks/eggnog/,eggnog
https://www.allrecipes.com/recipes/17635/main-dish/vegetable-main-dishes/eggplant-parmesan/,eggplant_parmesan
https://www.allrecipes.com/recipes/23131/appetizers-and-snacks/pastries/empanadas/,empanadas
https://www.allrecipes.com/recipes/1218/world-cuisine/latin-american/mexican/main-dishes/enchiladas/,enchiladas
https://www.allrecipes.com/recipes/17800/appetizers-and-snacks/snacks/energy-balls/,energy_balls
https://www.allrecipes.com/recipes/17575/bread/yeast-bread/english-muffins/,english_muffins
https://www.allrecipes.com/recipes/1425/soups-stews-and-chili/stews/etouffee/,etouffee
https://www.allrecipes.com/recipes/1220/world-cuisine/latin-american/mexican/main-dishes/fajitas/,fajitas
