,error_files
0,c:\Users\Logan\Documents\GitHub\pantryplan\src\recipe_scraper_tables\appetizers_and_snacks_urls.csv
1,c:\Users\Logan\Documents\GitHub\pantryplan\src\recipe_scraper_tables\banana_breads_urls.csv
2,c:\Users\Logan\Documents\GitHub\pantryplan\src\recipe_scraper_tables\bar_cookies_urls.csv
3,c:\Users\Logan\Documents\GitHub\pantryplan\src\recipe_scraper_tables\beef_recipes_urls.csv
4,c:\Users\Logan\Documents\GitHub\pantryplan\src\recipe_scraper_tables\beef_stroganoff_urls.csv
5,c:\Users\Logan\Documents\GitHub\pantryplan\src\recipe_scraper_tables\biscotti_urls.csv
6,c:\Users\Logan\Documents\GitHub\pantryplan\src\recipe_scraper_tables\bloody_marys_urls.csv
7,c:\Users\Logan\Documents\GitHub\pantryplan\src\recipe_scraper_tables\breads_urls.csv
8,c:\Users\Logan\Documents\GitHub\pantryplan\src\recipe_scraper_tables\breakfast_casseroles_urls.csv
9,c:\Users\Logan\Documents\GitHub\pantryplan\src\recipe_scraper_tables\breakfast_stratas_urls.csv
10,c:\Users\Logan\Documents\GitHub\pantryplan\src\recipe_scraper_tables\brines_urls.csv
11,c:\Users\Logan\Documents\GitHub\pantryplan\src\recipe_scraper_tables\burgers_urls.csv
12,c:\Users\Logan\Documents\GitHub\pantryplan\src\recipe_scraper_tables\canning_and_preserving_urls.csv
13,c:\Users\Logan\Documents\GitHub\pantryplan\src\recipe_scraper_tables\casseroles_urls.csv
14,c:\Users\Logan\Documents\GitHub\pantryplan\src\recipe_scraper_tables\cheesecakes_urls.csv
15,c:\Users\Logan\Documents\GitHub\pantryplan\src\recipe_scraper_tables\cheese_balls_urls.csv
16,c:\Users\Logan\Documents\GitHub\pantryplan\src\recipe_scraper_tables\chef_john_urls.csv
17,c:\Users\Logan\Documents\GitHub\pantryplan\src\recipe_scraper_tables\chicken_cacciatore_urls.csv
18,c:\Users\Logan\Documents\GitHub\pantryplan\src\recipe_scraper_tables\chicken_noodle_soups_urls.csv
19,c:\Users\Logan\Documents\GitHub\pantryplan\src\recipe_scraper_tables\chicken_teriyaki_urls.csv
20,c:\Users\Logan\Documents\GitHub\pantryplan\src\recipe_scraper_tables\chocolate_fudge_urls.csv
21,c:\Users\Logan\Documents\GitHub\pantryplan\src\recipe_scraper_tables\chowders_urls.csv
22,c:\Users\Logan\Documents\GitHub\pantryplan\src\recipe_scraper_tables\christmas_urls.csv
23,c:\Users\Logan\Documents\GitHub\pantryplan\src\recipe_scraper_tables\cinnamon_rolls_urls.csv
24,c:\Users\Logan\Documents\GitHub\pantryplan\src\recipe_scraper_tables\cocktails_urls.csv
25,c:\Users\Logan\Documents\GitHub\pantryplan\src\recipe_scraper_tables\coleslaws_urls.csv
26,c:\Users\Logan\Documents\GitHub\pantryplan\src\recipe_scraper_tables\comfort_food_urls.csv
27,c:\Users\Logan\Documents\GitHub\pantryplan\src\recipe_scraper_tables\cookies_urls.csv
28,c:\Users\Logan\Documents\GitHub\pantryplan\src\recipe_scraper_tables\copycat_recipes_urls.csv
29,c:\Users\Logan\Documents\GitHub\pantryplan\src\recipe_scraper_tables\creme_brulee_urls.csv
30,c:\Users\Logan\Documents\GitHub\pantryplan\src\recipe_scraper_tables\desserts_urls.csv
31,c:\Users\Logan\Documents\GitHub\pantryplan\src\recipe_scraper_tables\dinner_urls.csv
32,c:\Users\Logan\Documents\GitHub\pantryplan\src\recipe_scraper_tables\doughnuts_urls.csv
33,c:\Users\Logan\Documents\GitHub\pantryplan\src\recipe_scraper_tables\dumplings_urls.csv
34,c:\Users\Logan\Documents\GitHub\pantryplan\src\recipe_scraper_tables\eggnog_urls.csv
35,c:\Users\Logan\Documents\GitHub\pantryplan\src\recipe_scraper_tables\empanadas_urls.csv
36,c:\Users\Logan\Documents\GitHub\pantryplan\src\recipe_scraper_tables\fajitas_urls.csv
37,c:\Users\Logan\Documents\GitHub\pantryplan\src\recipe_scraper_tables\father's_day_urls.csv
38,c:\Users\Logan\Documents\GitHub\pantryplan\src\recipe_scraper_tables\food_gifts_urls.csv
39,c:\Users\Logan\Documents\GitHub\pantryplan\src\recipe_scraper_tables\gnocchi_urls.csv
